id,time,begin,spell_time,transition,s.1,s.2,s.3,s.4,s.5,s.6,s.7,s.8,s.9,s.10,s.11,s.12,s.13,s.14,s.15,s.16,s.17,s.18,s.19,s.20,s.21,s.22,s.23,s.24,s.25,s.26,s.27,s.28,s.29,s.30,s.31,s.32,s.33,s.34,s.35,s.36,s.37,s.38,s.39,s.40,s.41,s.42,s.43,s.44,s.45,s.46,s.47,s.48,s.49,s.50,s.51,s.52,s.53,s.54,s.55,s.56,s.57,s.58,s.59,s.60,SAMMtypology,lastobs,SAMMSingle Parenthood,SAMMTraditional Marriage and Parenthood,SAMMStable Cohabitation without Children,SAMMEarly Marriage without Children,SAMMDiverse Paths with Children,SAMMMarriage with Two Children,SAMMStable Cohabitation with Children
3902000.0,152,118,34,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children","Married, 2+ children",Traditional Marriage and Parenthood,True,0,1,0,0,0,0,0
4814000.0,16,1,15,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)",Stable Cohabitation without Children,True,0,0,1,0,0,0,0
5678000.0,11,1,10,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)",Early Marriage without Children,True,0,0,0,1,0,0,0
5678000.0,140,101,39,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child",Early Marriage without Children,True,0,0,0,1,0,0,0
5678000.0,205,148,57,False,"Single, no child","Single, no child","Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child","Single, no child",None,True,0,0,0,0,0,0,0
5780000.0,50,1,49,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Married, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child","Living apart together, no child",Diverse Paths with Children,True,0,0,0,0,1,0,0
6519000.0,10,1,9,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, no child","Cohabiting, no child","Cohabiting, no child",Single Parenthood,True,1,0,0,0,0,0,0
6519000.0,67,67,0,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)",Single Parenthood,True,1,0,0,0,0,0,0
8807000.0,7,1,6,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Cohabiting, with child(ren)","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child","Married, 1 child",Traditional Marriage and Parenthood,True,0,1,0,0,0,0,0
8948000.0,116,88,28,True,"Single, no child","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)","LAT, with child(ren)",Marriage with Two Children,True,0,0,0,0,0,1,0
9917000.0,71,1,70,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)","Single, with child(ren)",Single Parenthood,True,1,0,0,0,0,0,0
10208000.0,56,1,55,True,"Single, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child","Cohabiting, no child",Stable Cohabitation without Children,True,0,0,1,0,0,0,0
